



Watchman  n. Man employed to look after an empty building etc. At night.
Enkindle  v. (-ling) cause to flare up, arouse.


Conquest  n. 1 conquering or being conquered. 2 a conquered territory. B something won. 3 person whose affection has been won.
Busybody  n. (pl. -ies) meddlesome person.
Hit-and-run  attrib. Adj. 1 (of a driver, raider, etc.) Causing damage or injury and leaving the scene immediately. 2 (of an accident, attack, etc.) Perpetrated by such a person or people.
Duke  n. 1 person holding the highest hereditary title of the nobility. 2 sovereign prince ruling a duchy or small state.  dukedom n. [latin dux leader]

Vandalize  v. (also -ise) (-zing or -sing) wilfully or maliciously destroy or damage (esp. Public property).


Outstation  n. Remote branch or outpost.




Bathe  —v. (-thing) 1 immerse oneself in water, esp. To swim or wash oneself. 2 immerse in, wash, or treat with liquid. 3 (of sunlight etc.) Envelop. —n. Swim. [old english]
Strung  past and past part. Of *string.


Ascorbic acid  n. Vitamin c, which prevents scurvy. [from *a-, *scorbutic]
Permian  —adj. Of the last period of the palaeozoic era. —n. This period. [perm in russia]
Calix  var. Of *calyx.

Big-hearted  adj. Generous.

Aero-  comb. Form air; aircraft. [greek aero- from aer air]


Calculate  v. (-ting) 1 ascertain or forecast esp. By mathematics or reckoning. 2 plan deliberately. 3 (foll. By on) rely on; reckon on.  calculable adj. [latin: related to *calculus]

Leading question  n. Question prompting the answer wanted.


Fault  —n. 1 defect or imperfection of character, structure, appearance, etc. 2 responsibility for wrongdoing, error, etc. (your own fault). 3 break in an electric circuit. 4 transgression, offence. 5 a tennis etc. Incorrect service. B (in showjumping) penalty for error. 6 break in rock strata. —v. 1 find fault with; blame. 2 geol. A break the continuity of (strata). B show a fault.  at fault guilty; to blame. Find fault (often foll. By with) criticize; complain. To a fault excessively (generous to a fault). [latin fallo deceive]
Riparian  adj. Of or on a river-bank (riparian rights). [latin ripa bank]
Overrate  v. (-ting) 1 assess or value too highly. 2 (as overrated adj.) Not as good as it is said to be.
Instrumentality  n. Agency or means.
Grammatical  adj. Of or conforming to the rules of grammar.  grammatically adv.
Window-dressing  n. 1 art of arranging a display in a shop-window etc. 2 adroit presentation of facts etc. To give a deceptively favourable impression.
Synchronous  adj. (often foll. By with) existing or occurring at the same time.


Palm2  —n. 1 inner surface of the hand between the wrist and fingers. 2 part of a glove that covers this. —v. Conceal in the hand.  palm off 1 (often foll. By on) impose fraudulently (on a person) (palmed my old car off on him). 2 (often foll. By with) cause (a person) to accept unwillingly or unknowingly (palmed him off with my old car). [latin palma]
Remnant  n. 1 small remaining quantity. 2 piece of cloth etc. Left when the greater part has been used or sold. [french: related to *remain]
Heliotrope  n. Plant with fragrant purple flowers. [greek: related to *helio-, trepo turn]
Witless  adj. Foolish, crazy. [old english: related to *wit]

Get-at-able  adj. Colloq. Accessible.





Brisk  —adj. 1 quick, lively, keen (brisk pace, trade). 2 enlivening (brisk wind). —v. (often foll. By up) make or grow brisk.  briskly adv. Briskness n. [probably french *brusque]
Drifter  n. 1 aimless person. 2 boat used for drift-net fishing.
Ground1  —n. 1 a surface of the earth, esp. As contrasted with the air around it. B part of this specified in some way (low ground). 2 a position, area, or distance on the earth's surface. B extent of a subject dealt with (the book covers a lot of ground). 3 (often in pl.) Reason, justification. 4 area of a special kind or use (often in comb.: cricket-ground; fishing-grounds). 5 (in pl.) Enclosed land attached to a house etc. 6 area or basis for agreement etc. (common ground). 7 (in painting etc.) The surface giving the predominant colour. 8 (in pl.) Solid particles, esp. Of coffee, forming a residue. 9 us electr. = *earth n. 4. 10 bottom of the sea. 11 floor of a room etc. 12 (in full ground bass) mus. Short theme in the bass constantly repeated with the upper parts of the music varied. 13 (attrib.) (of animals) living on or in the ground; (of plants) dwarfish or trailing. —v. 1 refuse authority for (a pilot or an aircraft) to fly. 2 a run (a ship) aground; strand. B (of a ship) run aground. 3 (foll. By in) instruct thoroughly (in a subject). 4 (often as grounded adj.) (foll. By on) base (a principle, conclusion, etc.) On. 5 us electr. = *earth v.  break new (or fresh) ground treat a subject previously not dealt with. Get off the ground colloq. Make a successful start. Give (or lose) ground retreat, decline. Go to ground 1 (of a fox etc.) Enter its earth etc. 2 (of a person) become inaccessible for a prolonged period. Hold one's ground not retreat. On the grounds of because of. [old english]


Plaything  n. 1 toy or other thing to play with. 2 person used merely as an object of amusement or pleasure.
Bliss  n. 1 perfect joy. 2 being in heaven.  blissful adj. Blissfully adv. [old english]
Gas fire  n. Domestic heater burning gas.
Whirr  —n. Continuous rapid buzz or soft clicking sound. —v. (-rr-) make this sound. [scandinavian]




Informal  adj. 1 without formality. 2 not formal.  informality n. (pl. -ies). Informally adv.
Moralize  v. (also -ise) (-zing or -sing) 1 (often foll. By on) indulge in moral reflection or talk. 2 make moral or more moral.  moralization n.
Knack  n. 1 acquired faculty or trick of doing a thing. 2 habit (a knack of offending people). [origin unknown]
Tangly  adj. (-ier, -iest) tangled.
Sheila  n. Austral. & nz slang girl, young woman. [origin uncertain]
Arable  adj. (of land) suitable for crop production. [latin aro to plough]

Umbilicus  n. (pl. -ci or -cuses) navel. [latin]

Unroll  v. 1 open out from a rolled-up state. 2 display or be displayed like this.

Intermission  n. 1 pause or cessation. 2 interval in a cinema etc. [latin: related to *intermittent]
Near  —adv. 1 (often foll. By to) to or at a short distance in space or time. 2 closely (as near as one can guess). —prep. 1 to or at a short distance from (in space, time, condition, or resemblance). 2 (in comb.) Almost (near-hysterical). —adj. 1 close (to), not far (in place or time) (my flat's very near; the man nearest you; in the near future). 2 a closely related. B intimate. 3 (of a part of a vehicle, animal, or road) on the left side. 4 close; narrow (near escape). 5 similar (to) (is nearer the original). 6 colloq. Niggardly. —v. Approach; draw near to.  come (or go) near (foll. By verbal noun, or to + verbal noun) be on the point of, almost succeed in. Near at hand within easy reach. Near the knuckle colloq. Verging on the indecent.  nearish adj. Nearness n. [old norse, originally = nigher: related to *nigh]
Booze  colloq. —n. Alcoholic drink. —v. (-zing) drink alcohol, esp. To excess.  boozy adj. (-ier, -iest). [dutch]

Tombstone  n. Memorial stone over a grave, usu. With an epitaph.

Sepulchral  adj. 1 of a tomb or interment. 2 funereal, gloomy. [latin: related to *sepulchre]

Pre-empt  v. 1 a forestall. B appropriate in advance. 2  obtain by pre-emption. [back-formation from *pre-emption]
Icebox  n. 1 compartment in a refrigerator for making or storing ice. 2 us refrigerator.
Founding father  n. American statesman at the time of the revolution.

Dialling tone  n. Sound indicating that a telephone caller may dial.

Chagrin  —n. Acute annoyance or disappointment. —v. Affect with chagrin. [french]
Spend  v. (past and past part. Spent) 1 pay out (money). 2 a use or consume (time or energy). B use up (material etc.). 3 (as spent adj.) Having lost its original force or strength; exhausted.  spend a penny colloq. Go to the lavatory.  spender n. [latin: related to *expend]








Sheet metal  n. Metal rolled or hammered etc. Into thin sheets.



Refurnish  v. Furnish again or differently.
Plane3  n. Tall tree with maple-like leaves and bark which peels in uneven patches. [greek platanos]

Halon  n. Any of various gaseous compounds of carbon, bromine, and other halogens, used to extinguish fires. [related to *halogen]
-fold  suffix forming adjectives and adverbs from cardinal numbers, meaning: 1 in an amount multiplied by (repaid tenfold). 2 with so many parts (threefold blessing). [originally = ‘folded in so many layers’]
Rainforest  n. Luxuriant tropical forest with heavy rainfall.


Headcount  n. 1 counting of individual people. 2 total number of people, esp. Employees.

Roadshow  n. 1 television or radio series broadcasting each programme from a different venue. 2  any touring political or advertising campaign or touring entertainment.

Push  —v. 1 exert a force on (a thing) to move it or cause it to move away. 2 exert such a force (do not push against the door). 3 a thrust forward or upward. B (cause to) project (pushes out new roots). 4 move forward or make (one's way) by force or persistence. 5 exert oneself, esp. To surpass others. 6 (often foll. By to, into, or to + infin.) Urge, impel, or press (a person) hard; harass. 7 (often foll.

Century  n. (pl. -ies) 1 a 100 years. B any century reckoned from the birth of christ (twentieth century = 1901–2000; fifth century bc = 500–401 bc). 2 score etc. Of 100 esp. By one batsman in cricket. 3 company in the ancient roman army, orig. Of 100 men. [latin centuria: related to *cent]

Back room  n. (often, with hyphen, attrib.) Place where secret work is done.
Plaudit  n. (usu. In pl.) 1 round of applause. 2 expression of approval. [latin plaudite, imperative of plaudo plaus- clap]
Humdinger  n. Slang excellent or remarkable person or thing. [origin unknown]
Feasible  adj. Practicable, possible.  feasibility n. Feasibly adv. [latin facio do]


Brushwood  n. 1 undergrowth, thicket. 2 cut or broken twigs etc.



Highly-strung  adj. Very sensitive or nervous.
Rasher  n. Thin slice of bacon or ham. [origin unknown]

Successive  adj. Following one after another; consecutive.  successively adv.

Smitten  past part. Of *smite.
Humorous  adj. Showing humour or a sense of humour.  humorously adv.



Fancy dress  n. Costume for masquerading at a party.
After-effect  n. Delayed effect following an accident, trauma, etc.
Usage  the form candelabra is, strictly speaking, the plural. However, candelabra (singular) and candelabras (plural) are often found in informal use.




Sunder  v. Archaic or literary separate. [old english: cf. *asunder]
Coalface  n. Exposed working surface of coal in a mine.
Cosmetic  —adj. 1 beautifying, enhancing. 2 superficially improving or beneficial. 3 (of surgery or a prosthesis) imitating, restoring, or enhancing normal appearance. —n. Cosmetic preparation, esp. For the face.  cosmetically adv. [greek, = ornament]


Tote bag  n. Woman's large bag for shopping etc.



Abate  v. (-ting) make or become less strong etc.; diminish.  abatement n. [french abatre from latin batt(u)o beat]

Pun  —n. Humorous use of a word or words with two or more meanings; play on words. —v. (-nn-) (foll. By on; also absol.) Make a pun or puns with (words). [origin unknown]


Bus  —n. (pl. Buses or us busses) 1 large esp. Public passenger vehicle, usu. Travelling a fixed route. 2 colloq. Car, aeroplane, etc. —v. (buses or busses, bussed, bussing) 1 go by bus. 2 us transport by bus, esp. To aid racial integration. [abbreviation of *omnibus]

Methane  n. Colourless odourless inflammable gaseous hydrocarbon, the main constituent of natural gas. [from *methyl]



Picket line  n. Boundary established by workers on strike, esp. At the entrance to the place of work, which others are asked not to cross.
Mix  —v. 1 combine or put together (two or more substances or things) so that the constituents of each are diffused among those of the other(s). 2 prepare (a compound, cocktail, etc.) By combining the ingredients. 3 combine (activities etc.) (mix business and pleasure). 4 a join, be mixed, or combine, esp. Readily (oil and water will not mix). B be compatible. C be sociable (must learn to mix). 5 a (foll. By with) (of a person) be harmonious or sociable with; have regular dealings with. B (foll. By in) participate in. 6 drink different kinds of (alcoholic liquor) in close succession. 7 combine (two or more sound signals) into one. —n. 1 a mixing; mixture. B proportion of materials in a mixture. 2 ingredients prepared commercially for making a cake, concrete, etc.  be mixed up in (or with) be involved in or with (esp. Something undesirable). Mix it colloq. Start fighting. Mix up 1 mix thoroughly. 2 confuse. [back-formation from *mixed]

Redwood  n. Very large californian conifer yielding red wood.


Head over heels  —n. Turning over completely in forward motion as in a somersault etc. —adv. Utterly (head over heels in love).
Dowry  n. (pl. -ies) property or money brought by a bride to her husband. [anglo-french, = french douaire *dower]
Checked  adj. Having a check pattern.

Quod  n.  Slang prison. [origin unknown]
Heart  n. 1 hollow muscular organ maintaining the circulation of blood by rhythmic contraction and dilation. 2 region of the heart; the breast. 3 a centre of thought, feeling, and emotion (esp. Love). B capacity for feeling emotion (has no heart). 4 a courage or enthusiasm (take heart). B mood or feeling (change of heart). 5 a central or innermost part of something. B essence (heart of the matter). 6 compact tender inner part of a lettuce etc. 7 a heart-shaped thing. B conventional representation of a heart with two equal curves meeting at a point at the bottom and a cusp at the top. 8 a playing-card of the suit denoted by a red figure of a heart. B (in pl.) This suit.  at heart 1 in one's inmost feelings. 2 basically. Break a person's heart overwhelm a person with sorrow. By heart from memory. Give (or lose) one's heart (often foll. By to) fall in love (with). Have the heart (usu. With neg.; foll. By to + infin.) Be insensitive or hard-hearted enough (didn't have the heart to ask him). Take to heart be much affected by. To one's heart's content see *content1. With all one's heart sincerely; with all goodwill. [old english]
Disfigure  v. (-ring) spoil the appearance of.  disfigurement n.

Stunt man  n. Man employed to perform dangerous stunts in place of an actor.

Observation  n. 1 observing or being observed. 2 power of perception. 3 remark, comment. 4 thing observed by esp. Scientific study.  observational adj.


 
Lick  —v. 1 pass the tongue over. 2 bring into a specified condition by licking (licked it all up; licked it clean). 3 (of a flame etc.) Play lightly over. 4 colloq. Defeat. 5 colloq. Thrash. —n. 1 act of licking with the tongue. 2 colloq. Fast pace (at a lick). 3 smart blow.  lick a person's boots be servile. Lick into shape make presentable or efficient. Lick one's lips (or chops) look forward with relish. Lick one's wounds be in retirement regaining strength etc. After defeat. [old english]





Rhythm and blues  n. Popular music with blues themes and a strong rhythm.

Subtract  v. (often foll. By from) deduct (a number etc.) From another.  subtraction n. [latin subtraho draw away]


Arête  n. Sharp mountain ridge. [french from latin arista spine]
Burp  colloq. —v. 1 belch. 2 make (a baby) belch. —n. Belch. [imitative]

Note  —n. 1 brief written record as an aid to memory (often in pl.: make notes). 2 observation, usu. Unwritten, of experiences etc. (compare notes). 3 short or informal letter. 4 formal diplomatic communication. 5 short annotation or additional explanation in a book etc. 6 a = *banknote. B written promise of payment. 7 a notice, attention (worthy of note). B eminence (person of note). 8  a single musical tone of definite pitch. B written sign representing its pitch and duration. C key of a piano etc. 9 quality or tone of speaking, expressing mood or attitude etc. (note of optimism). —v. (-ting) 1 observe, notice; give attention to. 2 (often foll. By down) record as a thing to be remembered or observed. 3 (in passive; often foll. By for) be well known.  hit (or strike) the right note speak or act in exactly the right manner. [latin nota mark (n.), noto mark (v.)]
Peaky  adj. (-ier, -iest) 1 sickly; puny. 2 white-faced.
Nt  abbr. 1 new testament. 2 northern territory (of australia). 3 national trust.


Father-figure  n. Older man respected and trusted like a father.

Formulary  n. (pl. -ies) 1 collection of esp. Religious formulas or set forms. 2 pharm. Compendium of drug formulae. [french or medieval latin: related to *formula]

Abstract  —adj. 1 a of or existing in thought or theory rather than matter or practice; not concrete. B (of a word, esp. A noun) denoting a quality, condition, etc., not a concrete object. 2 (of art) achieving its effect by form and colour rather than by realism. —v. 1 (often foll. By from) extract, remove. 2 summarize. —n. 1 summary. 2 abstract work of art. 3 abstraction or abstract term. [latin: related to *tract1]

Poultice  —n. Soft medicated usu. Heated mass applied to the body and kept in place with muslin etc., to relieve soreness and inflammation. —v. (-cing) apply a poultice to. [latin puls pottage]
Courtier  n. Person who attends a sovereign's court. [anglo-french: related to *court]
Bust-up  n. 1 quarrel. 2 collapse.



Shadowy  adj. 1 like or having a shadow. 2 vague, indistinct.
Penchant  n. (followed by for) inclination or liking. [french]
Governor  n. 1 ruler. 2 a official governing a province, town, etc. B representative of the crown in a colony. 3 executive head of each state of the us. 4 officer commanding a fortress etc. 5 head or member of the governing body of an institution. 6 official in charge of a prison. 7 a slang one's employer. B slang one's father. 8 mech. Automatic regulator controlling the speed of an engine etc.  governorship n.
No.  Abbr. Number. [latin numero, ablative of numerus number]
Wether  n. Castrated ram. [old english]
Bung  —n. Stopper, esp. For a cask. —v. 1 stop with a bung. 2 slang throw.  bunged up blocked up. [dutch]
Nazarene  —n. 1 a (prec. By the) christ. B (esp. In jewish or muslim use) christian. 2 native or inhabitant of nazareth. —adj. Of nazareth. [latin from greek]

Wince  —n. Start or involuntary shrinking movement of the face, showing pain or distress. —v. (-cing) give a wince. [germanic: related to *wink]



Editorial  —adj. 1 of editing or editors. 2 written or approved by an editor. —n. Article giving a newspaper's views on a current topic.  editorially adv.

Champ2  n. Slang champion. [abbreviation]
Prearrange  v. (-ging) arrange beforehand.  prearrangement n.
Dixieland  n. 1 = *dixie. 2 traditional kind of jazz.


Ne  symb. Neon.
Br  abbr. British rail.
Quorate  adj. Constituting or having a quorum. [from *quorum]

Yaw  —v. (of a ship or aircraft etc.) Fail to hold a straight course; go unsteadily. —n. Yawing of a ship etc. From its course. [origin unknown]
Adulterate  v. (-ting) debase (esp. Foods) by adding other substances.  adulterant adj. & n. Adulteration n. [latin adultero corrupt]
Torch  n. 1 portable battery-powered electric lamp. 2 thing lit for illumination. 3 source of heat, illumination, or enlightenment.  carry a torch for suffer from unrequited love for. [latin: related to *tort]


Tec  abbr. Training and enterprise council.
Candor  n. (brit. Candour) frankness; openness. [latin candor]
Terrier  n. Small dog of various breeds originally used for digging out foxes etc. [french chien terrier dog that chases to earth]

Sought  past and past part. Of *seek.

Place-mat  n. Small table-mat for a person's plate.
Restart  —v. Start again. —n. Act of restarting.


Pepperoni  n. Beef and pork sausage seasoned with pepper. [italian peperone chilli]


Reach-me-down  n. Colloq. 1 ready-made garment. 2 = *hand-me-down.
Right-handed  adj. 1 naturally using the right hand for writing etc. 2 (of a tool etc.) For use by the right hand. 3 (of a blow) struck with the right hand. 4 a turning to the right. B (of a screw) turned clockwise to tighten.  right-handedly adv. Right-handedness n.



Medicate  v. (-ting) 1 treat medically. 2 impregnate with medicine etc.  medicative adj. [latin medicare medicat-]


Golden jubilee  n. Fiftieth anniversary.






Buffet1  n. 1 room or counter where refreshments are sold. 2 self-service meal of several dishes set out at once. 3 also sideboard or recessed cupboard. [french, = stool]


Dynamo  n. (pl. -s) 1 machine converting mechanical into electrical energy, esp. By rotating coils of copper wire in a magnetic field. 2 colloq. Energetic person. [abbreviation of dynamo-electric machine]
Cool  —adj. 1 of or at a fairly low temperature, fairly cold. 2 suggesting or achieving coolness. 3 calm, unexcited. 4 lacking enthusiasm. 5 unfriendly (a cool reception). 6 calmly audacious. 7 (prec. By a) colloq. At least (cost a cool thousand). 8 slang esp. Us marvellous. —n. 1 coolness. 2 cool air or place. 3 slang calmness, composure. —v. (often foll. By down, off) make or become cool.  cool it slang relax, calm down.  coolly adv. Coolness n. [old english]
July  n. (pl. Julys) seventh month of the year. [latin julius caesar]
Offertory  n. (pl. -ies) 1 offering of the bread and wine at the eucharist. 2 collection of money at a religious service. [church latin: related to *offer]


Waterlogged  adj. Saturated or filled with water.








Carriageway  n. The part of a road intended for vehicles.

Figurine  n. Statuette. [italian: related to *figure]

Airy-fairy  adj. Colloq. Unrealistic, impractical.
Causative  adj. Acting as or expressing a cause.
Lighthouse  n. Tower etc. Containing a beacon light to warn or guide ships at sea.



Threat  n. 1 declaration of an intention to punish or hurt if an order etc. Is not obeyed. 2 indication of something undesirable coming (threat of war). 3 person or thing as a likely cause of harm etc. [old english]
Wattle1  n. 1 structure of interlaced rods and sticks used for fences etc. 2 australian acacia with pliant branches and golden flowers used as the national emblem. [old english]
Archdeacon  n. Church dignitary next below a bishop.  archdeaconry n. (pl. -ies).
Slain  past part. Of *slay.

Dolman sleeve  n. Loose sleeve cut in one piece with a bodice. [turkish]
Duress  n. 1 compulsion, esp. Illegal use of threats or violence (under duress). 2 imprisonment. [latin durus hard]
Indecision  n. Inability to decide; hesitation.



Take-home pay  n. Employee's pay after the deduction of tax etc.


Blab  v. (-bb-) 1 talk foolishly or indiscreetly. 2 reveal (a secret etc.); confess. [imitative]
Effervesce  v. (-cing) 1 give off bubbles of gas. 2 be lively.  effervescence n. Effervescent adj. [latin: related to *fervent]



Reconvert  v. Convert back to a former state.  reconversion n.

Chaplet  n. 1 garland or circlet for the head. 2 short string of beads; rosary. [latin: related to *cap]
Leeward  —adj. & adv. On or towards the side sheltered from the wind. —n. Leeward region or side.

St bernard  n. (in full st bernard dog) very large dog of a breed orig. Kept in the alps to rescue travellers.
Undies  n.pl. Colloq. (esp. Women's) underclothes. [abbreviation]

Reverent  adj. Feeling or showing reverence.  reverently adv. [latin: related to *revere]
Pally  adj. (-ier, -iest) colloq. Friendly.



Attenuate  v. (-ting) 1 make thin. 2 reduce in force, value, etc.  attenuation n. [latin tenuis thin]
Stereo  —n. (pl. -s) 1 a stereophonic record-player etc. B stereophonic sound reproduction (see *stereophonic). 2 = *stereoscope. —adj. 1 = *stereophonic. 2 = stereoscopic (see *stereoscope). [abbreviation]


Ablaze  predic. Adj. & adv. 1 on fire. 2 glittering, glowing. 3 greatly excited.
Studious  adj. 1 assiduous in study. 2 painstaking.  studiously adv. [latin: related to *study]



Compound1  —n. 1 mixture of two or more things. 2 word made up of two or more existing words. 3 substance formed from two or more elements chemically united in fixed proportions. —adj. 1 made up of two or more ingredients or parts. 2 combined; collective. —v. 1 mix or combine (ingredients or elements). 2 increase or complicate (difficulties etc.). 3 make up (a composite whole). 4 settle (a matter) by mutual agreement. 5 law condone or conceal (a liability or offence) for personal gain. 6 (usu. Foll. By with) law come to terms with a person. [latin compono -pos- put together]
Microscopic  adj. 1 visible only with a microscope. 2 extremely small. 3 of or by means of a microscope.  microscopically adv.
Landscape  —n. 1 scenery as seen in a broad view. 2 (often attrib.) Picture representing this; this genre of painting. —v. (-ping) improve (a piece of land) by landscape gardening. [dutch landscap]
Mother  —n. 1 female parent. 2 woman, quality, or condition etc. That gives rise to something else (necessity is the mother of invention). 3 (in full mother superior) head of a female religious community. —v. 1 treat as a mother does. 2 give birth to; be the mother or origin of.  motherhood n. Motherless adj. [old english]

Briefcase  n. Flat document case.

So-and-so  n. (pl. -so's) 1 particular but unspecified person or thing. 2 colloq. Objectionable person.
Quad3  colloq. —n. Quadraphonics. —adj. Quadraphonic. [abbreviation]
Tarot  n. (often attrib.) 1 (in sing. Or pl.) A pack of mainly picture cards used in fortune-telling. B any game played with a similar pack of 78 cards. 2 any card from a tarot pack. [french]

Usage  luxuriant is sometimes confused with luxurious.

Underlay2  past of *underlie.
Pigment  —n. 1 colouring-matter used as paint or dye. 2 natural colouring-matter of animal or plant tissue. —v. Colour with or as if with pigment.  pigmentary adj. [latin pingo paint]
Pasha  n. Hist. Title (placed after the name) of a turkish military commander, governor, etc. [turkish]
Woo  v. (woos, wooed) 1 court; seek the hand or love of. 2 try to win (fame, fortune, etc.). 3 seek the favour or support of. 4 coax or importune.  wooer n. [old english]


Voluble  adj. Speaking or spoken fluently or at length.  volubility n. Volubly adv. [latin volvo roll]

Deficit  n. 1 amount by which a thing (esp. Money) is too small. 2 excess of liabilities over assets. [french from latin: related to *defect]


Gift token  n. (also gift voucher) voucher used as a gift and exchangeable for goods.
Precaution  n. Action taken beforehand to avoid risk or ensure a good result.  precautionary adj. [latin: related to *caution]
Murmur  —n. 1 subdued continuous sound, as made by waves, a brook, etc. 2 softly spoken or nearly inarticulate utterance. 3 subdued expression of discontent. —v. 1 make a murmur. 2 utter (words) in a low voice. 3 (usu. Foll. By at, against) complain in low tones, grumble. [latin]
Horror  —n. 1 painful feeling of loathing and fear. 2 a (often foll. By of) intense dislike. B (often foll. By at) colloq. Intense dismay. 3 a person or thing causing horror. B colloq. Bad or mischievous person etc. 4 (in pl.; prec. By the) fit of depression, nervousness, etc. —attrib. Adj. (of films etc.) Designed to interest by arousing feelings of horror.
Red-letter day  n. Day that is pleasantly noteworthy or memorable (orig. A festival marked in red on the calendar).
Cup-tie  n. Match in a competition for a cup.
Fourth  adj. & n. 1 next after third. 2 any of four equal parts of a thing.  fourthly adv. [old english: related to *four]
Ordure  n. Dung. [latin horridus: related to *horrid]

Cutlery  n. Knives, forks, and spoons for use at table. [anglo-french: related to *cutler]



Hector  —v. Bully, intimidate. —n. Bully. [from the name hector in the iliad]

Tsunami  n. (pl. -s) long high sea wave caused by underwater earthquakes etc. [japanese]
Attachment  n. 1 thing attached, esp. For a purpose. 2 affection, devotion. 3 attaching or being attached. 4 legal seizure. 5 temporary position in an organization.

Calces  pl. Of *calx.
All comers  n.pl. Anyone who applies, takes up a challenge, etc.
Booking-hall  n. (also booking-office) ticket office at a railway station etc.

Square-rigged  adj. With the principal sails at right angles to the length of the ship.


Replay  —v. Play (a match, recording, etc.) Again. —n. Replaying of a match, recorded incident in a game, etc.

Claymore  n. Hist. Scottish two-edged broadsword. [gaelic, = great sword]



Blueberry  n. (pl. -ies) small blue-black edible fruit of various plants.
Granivorous  adj. Feeding on grain. [latin: related to *grain]
Squidgy  adj. (-ier, -iest) colloq. Squashy, soggy. [imitative]


Mordant  —adj. 1 (of sarcasm etc.) Caustic, biting. 2 pungent, smarting. 3 corrosive or cleansing. 4 serving to fix dye. —n. Mordant substance. [latin mordeo bite]

Err  v. 1 be mistaken or incorrect. 2 do wrong; sin. [latin erro stray]

Apprise  v. (-sing) formal inform. [french appris(e) learnt, taught]


Old soldier  n. (also old stager or timer) experienced person.

Underworld  n. 1 those who live by organized crime and vice. 2 mythical abode of the dead under the earth.








Coxcomb  n. Ostentatiously conceited man.  coxcombry n. (pl. -ies). [= cock's comb]
Appal  v. (-ll-) 1 greatly dismay or horrify. 2 (as appalling adj.) Colloq. Very bad, shocking. [french apalir grow pale: related to *pale1]


Wheel-clamp  n. = *clamp1 n. 2.

Seigneur  n. Feudal lord.  seigneurial adj. [french from latin senior *senior]
Day nursery  n. Nursery for children of working parents.
Muggins  n. (pl. Same or mugginses) colloq. Gullible person (often meaning oneself: so muggins had to pay). [perhaps from the surname]
Tv  abbr. Television.


Usage  milliard is now largely superseded by billion.

They'd  contr. 1 they had. 2 they would.
Pester  v. Trouble or annoy, esp. With frequent or persistent requests. [probably french empestrer encumber: influenced by *pest]
Marketable  adj. Able or fit to be sold.  marketability n.
Modern  —adj. 1 of present and recent times. 2 in current fashion; not antiquated. —n. Person living in modern times.  modernity n. [latin modo just now]
Danish blue  n. White blue-veined cheese.

Over-  prefix 1 excessively. 2 upper, outer. 3 = *over in various senses (overshadow). 4 completely (overawe; overjoyed).

Fraction  n. 1 part of a whole number (e.g. 1/2, 0.5). 2 small part, piece, or amount. 3 portion of a mixture obtained by distillation etc.  fractional adj. Fractionally adv. [latin frango fract- break]




Fluorescence  n. 1 light radiation from certain substances. 2 property of absorbing invisible light and emitting visible light. [from *fluorspar, after opalescence]
Rosette  n. 1 rose-shaped ornament of ribbon etc., esp. As a supporter's badge or as a prize in a competition. 2 rose-shaped carving. [french diminutive: related to *rose1]

Mail2  n. Armour of metal rings or plates. [french maille from latin macula]


Boating  n. Rowing or sailing as recreation.
Hectare  n. Metric unit of square measure, 100 ares (2.471 acres or 10,000 square metres). [french: related to *hecto-, *are2]

Rag1  n. 1 torn, frayed, or worn piece of woven material. 2 (in pl.) Old or worn clothes. 3 (collect.) Scraps of cloth used as material for paper, stuffing, etc. 4 derog. Newspaper.  in rags much torn. Rags to riches poverty to affluence. [probably a back-formation from *ragged]



Unseasonal  adj. Not typical of, or appropriate to, the time or season.  unseasonally adv.

Hcf  abbr. Highest common factor.
Ruck2  —v. (often foll. By up) make or become creased or wrinkled. —n. Crease or wrinkle. [old norse]

Concordance  n. 1 agreement. 2 alphabetical index of words used in a book or by an author. [medieval latin: related to *concord]
Untruthful  adj. Not truthful.  untruthfully adv.
Heaven-sent  adj. Providential.


List price  n. Price of something as shown in a published list.
Dirndl  n. 1 dress with a close-fitting bodice and full skirt. 2 full skirt of this kind. [german]

Headstall  n. Part of a halter or bridle fitting round a horse's head.
Civvies  n.pl. Slang civilian clothes. [abbreviation]


Hen  n. Female bird, esp. Of a domestic fowl. [old english]
Baize  n. Usu. Green woollen felted material, used for coverings. [french pl. Baies chestnut-coloured]
Hard-pressed  adj. 1 closely pursued. 2 burdened with urgent business.



Tonality  n. (pl. -ies) 1 mus. A relationship between the tones of a musical scale. B observance of a single tonic key as the basis of a composition. 2 colour scheme of a picture.

Formic acid  n. Colourless irritant volatile acid contained in fluid emitted by ants; methanoic acid. [latin formica ant]


Highway code  n. Official booklet of guidance for road-users.


Gill1  n. (usu. In pl.) 1 respiratory organ in a fish etc. 2 vertical radial plate on the underside of a mushroom etc. 3 flesh below a person's jaws and ears. [old norse]

