healthy food;tofu
archaic;old
convertible for one;sofa
sudden impact;jolt
proverbially thick piece of wood;plank
dismay;faze
no miss america;hag
soda bottle unit;liter
subsequently;after
army outfit;equipage
crusade in which faction gets unexpected gain;campaign
hardys partner;laurel
stuffed tortilla;taco
its silent in honor;aitch
runners do it;pant
african republic;tine
immediate occasion;nonce
brighteyed and bushytai;alert
decorators base;cake
boaters s o s;flare
native american symbol;totem
grammarians concern;usage
nearly closed;ajar
a saint in european missionary;apostle
o henry in the literary;award
search for food;grub
infantile remark;goo
state oratorically;spout
what phile means;lover
part of icbm;inter
concert highlight;solo
go  detail;into
iv to iii;son
current carrier;wire
startle;scare
sing the praises of;laud
deluxe;posh
plane eg;tool
angiogram sight;artery
impart knowledge;teach
italianamerican say;ethnic
priest swimming in river shows proficiency;expertise
leopard runner;mac
now and then when i relax a call for help goes round;sometimes
forge;smithy
field team;oxen
luminous;aglow
dungeons  dragons locale;castle
waiting room call;next
mouthpiece attachment;reed
slightly rude flash enthrals the spanish;indelicate
delightful in all respects;idyllic
tropical storm;typhoon
pinkflowered shrub;oleander
by a hair;barely
oompahpaher;tuba
strive;vie
jellied food packed in free lunches;eel
kind of treat;taste
romantic comedies eg;genre
mass confusion about keeping fit the opposite;assemble
takes care of;does
forensic id;dna
the clone dolly eg;ewe
irksome type;pest
traditional pooch name;spot
christmas season;noel
like a pomegranate;seedy
jogged;ran
loudspeaker informally;horn
one critical of french farmers tower;detractor
marine;sea
rely on;trust
make merry;revel
express discontent;repine
prescription info;dose
capital of andalusia;seville
former crayola color;flesh
wedded;one
punctuation mark;dash
spell;trance
brown in a way;roast
spinning part;rotor
somebody nice;honey
pronoun;her
snowmobile part;ski
opposite of scanty;replete
the grandfather in pete;bassoon
like a jekyllhyde person;dual
reflect seeing change in friend;meditate
suffers heavy blow cushion needed;hassock
take a dogleg eg;turn
onions cousin;leek
attraction;magnetism
show contempt for loud hooligan;flout
hillman once perhaps a follower of fortune;hunter
stately tree;elm
bra insert;wire
portable rocketlauncher;bazooka
what a belt might ensure;chastity
four years maybe;term
wadi;wash
court defense;zone
owners certificate;deed
stocking stuff;lisle
orthodontists concern;bite
damp basement cause;seepage
kind of bar;candy
seize suddenly;snatch
banishment;exile
no nemesis;bond
toward the stern;abaft
got down;ate
bangup;wonderful
pixieesque;elfin
ragamuffin;urchin
adpacked sunday newspape;travel
being useless essentially without instrument;utensil
intellect care;mind
powder holder;keg
stupid;dopey
certain protest;fast
d;thaw
name of london street hiding a chemical;reagent
minute amount;iota
present presenter;santa
yule visitor;santa
seedcase that inspired ve;bur
rude and brutish person;yahoo
held on to;kept
it may be sought in a rus;ore
word with car or machine;slot
value;assess
prejudice shown when in support of substantial cut;bias
its often heard during s;static
examination format;oral
marriage requirement;pair
gully thats usually dry;wadi
realm;domain
rubbish heap fine female falls into;piffle
letter of a chapter;eta
camp david eg;retreat
big share;half
indy racer guthrie;jet
yule in ads;xmas
pod item;pea
in no other place;here
bambi and others;deer
one old vehicle in road broadcasting family aor station;radio
mae west notably;flirt
high time in paris;midi
gradually become smaller;dwindle
flee;lam
weaken with water;dilute
bittersweet performance;swansong
bypass;evade
hijinks in a stolen car;joyride
manhattan part;rye
vocation;trade
tennis court divider;net
play area;arena
charioteer who precedes a;aurora
old bronze coin;sou
tibias locale;shin
dome;cupola
boozy;lit
sound of impatience;toot
ease;palliate
delicate lock of hair;wisp
twotime losing republica;dewey
australian mine find;opal
no soothing sound;din
partner of away;far
letter after phi chi ps;omega
compact;hard
british book of genealogi;peerage
harpsichord component;quill
national bird;eagle
iowa or ohio;state
be subject to change;vary
hardly a heman;sissy
peppery;pungent
d or eee;width
terrific;great
champions cut;topside
swindle;chisel
vile;sordid
smithfield product;ham
dome;pate
feature of many a bird;tuft
oily;slick
ocean oxygen source;seaweed
result of stream erosion;ravine
poor one engaged in one option for fives a game;billiards
works antithesis briefl;rec
come clean;admit
not superficial;inner
business position;sales
go up and see;appreciate
severely criticise introducing husband in party;thrash
sixstring;six
max;most
medicinal weight;gram
any entry on a dear santa;want
fabricated;made
target number in baccarat;nine
pupil surrounder;areola
put a new handle on;rename
teen trouble;acne
bit of rootless flora;alga
groceries;food
person under the union ja;brit
sound from a fan;whirr
the universe on day one;chaos
iowas state tree;oak
louis armstrongs instrum;trumpet
irving berlin classic;always
beginning;initial
cake decoration made from infused cream is no good at first;icing
canine covering;enamel
slender nail;brad
vaulted area often;apse
gush;cascade
close by;nigh
puffed up;swollen
agreement;accord
secret order member;mason
flavorless;vapid
portable dwelling;tepee
code preceder;area
totally destroy;annihilate
utter;unmitigated
sixyr term holder;sen
anxiety;unease
big  golden arches of;mac
british john;loo
pond denizen;eft
boring bit;auger
official reproach;censure
brake part;shoe
open slightly;ajar
wild time;orgy
swimming pool shade;aqua
toil in a trireme;oar
romulus or servius tulliu;rex
way to go;vehicle
do colorful work;dye
makeup eg;test
masks are worn here;underwater
check the bar code;scan
in competition;vying
vegetable;pea
top scout;eagle
holy book;koran
japanese competitor of ib;nec
journey part;leg
look  seed inside a caper;appearance
tooth protector;enamel
part of a rorschach test;blot
fedora or fez;hat
blow the whistle on;rat
elusive himalayan creatur;yeti
small ruff;ruche
it;lsd
hymn thats on hand to entertain soprano;psalm
unlike doves;militant
cats warning;hiss
like thick fog;soupy
rent a party twister;tornado
office furniture;desk
butchers need;cleaver
subtracting;less
trick;stunt
shoot one under;birdie
not only that;and
unwilling;averse
twinkle;gleam
for the taking;free
piece of garlic;clove
abundant;rife
offering at some bars;sushi
ambition in dutch opera;hope
sudden whim;impulse
precious metal;silver
long way to go;far
metallic element;yttrium
popular plan besides crazy but essential;indispensable
employees reward;bonus
idiot;moron
prelude;intro
what moses did;led
lively sonata movement;rondo
cosmopolitan students separated during rambling;worldly
near thing;close shave
blast;scald
recurring idea in article on maine;theme
photogs request;smile
fleece;soak
bark beetles target;elm
rocky rival apollo;creed
attract;entice
some people have it for l;lust
brief story that might op;anecdote
badmouth;bash
wake up certain about truth no end;surface
lightweight wood;balsa
lock plate;hasp
works in la galer;arte
saddle eg;seat
firefighting need;water
steinbecks east of;eden
not robust;fragile
whats;more
narrow way;strait
nile viper;asp
aquarium purifier;filter
pizazz;flash
calfs meat;veal
it has a forked tail;tern
sleeper;cell
yearn;hanker
they show their faces in;dice
person on a poster;idol
obdurate;stony
hot breakfast cereal;farina
use a straw;suck
took action about outlay deferred;suspended
mil alliance since 1949;nato
tempo;pace
sportscast feature;replay
dictate;decree
lionel track layout mayb;oval
wasnt up;slept
not secure;risky
dracula feature;fang
virgos predecessor;leo
ethelred the unready for;epithet
reef material;coral
marshal kanes time;noon
cause of lightheadedness;halo
talk on and on slangily;jaw
sink sound;drip
dukes fall eg;semester
tritons realm;sea
first in double figures;ten
it might afford a remedy;spa
bass for one;ale
chic;style
manufacture;create
served the purpose;did
entrance;bewitch
inspiration for keats;urn
someone disabling networks the deeds are his;landowner
fall sound;thud
heavens;sky
above;over
crackers;loony
ending of some plant name;wort
fish in fish and chips;plaice
in the midst of;among
side of a doorway;jamb
wedding broadcast;banns
part of a school grade m;minus
platoon eg;unit
hold up;delay
course before une salade;potage
scheming;sly
parish leader;curate
tv adjunct;vcr
nostalgia elicitor;oldie
like dennis the menace;pesky
scotch;pine
beast;brute
philadelphia had the firs;zoo
marshall mcluhans concer;media
easter preparation;lent
stuff in a muffin;bran
unit in a terrorist organ;cell
scouts quest maybe;talent
spanish princess;infanta
elephant driver;mahout
text summary needs english to be accurate;precise
tract of land affording space the reverse;moor
like some crosses;papal
soccer score;goal
academic discipline;science
fix;mend
part of a three stooges s;slap
speaking two languages;bilingual
like a little old lady in;spry
std;reg
miners aid;lamp
hit;struck
lingua franca for some;esperanto
edible pocket;pita
bygone toyota model;tercel
altimeter units;feet
difficulty increaser in d;twist
the everly brothers eg;duet
years ago;ago
draw a conclusion;infer
common possessive;his
reception vessel;urn
motive for some crime;hate
data source;disc
corn sugar;dextrose
seemingly boundless;vast
turn red say;dye
stirfry pan;wok
ermine;weasel
vocal;oral
shylock;usurer
like a bug in a rug;snug
spam flavorer;clove
opposed to european time frames;anti
draw near;come
scales top sometimes;ten
diving bird;guillemot
take the witness stand;testify
it hunted for red october;sonar
hot rod rod;axle
stinging;acrid
it has many functions;math
pickle unit;spear
chitchat;palaver
alpine flower;edelweiss
mass for one;ritual
possible result of a natu;anarchy
gentle air;nocturne
how some shall remain;nameless
skeleton of the head;skull
keenness of mind;acumen
oarpowered ship;trireme
drink with a straw;malt
easter bloom;lily
picture;movie
billy idol expression;sneer
theyre all for it;pros
scourge of serge;lint
be off;err
bird of about 628 feet no charge;pipit
quotable yank;yogi
vote to kill a bill;nay
managerofthemonth eg;award
coating for walls;stucco
male in favour of lying in bed for ease;comfort
waterfowl;loon
forbes 400 listee;billionaire
join;enroll
heads up to deliver a knockout blow;stun
cause of a red face;ire
approach with a question;accost
down under bird;emu
miter wearer;bishop
headgear for hardy;derby
like some contraception;oral
meal;repast
stay;visit
clamor;noise
swell increase rapidly;balloon
bon mot;bon
oddball worried unduly after losing heart;weirdo
its often said with the;amen
machine wedge;shim
rubble;debris
shanty;hovel
natural habitat;element
fair;just
display aid;easel
unlikely local capital;hydrant
mideast chief;emir
mels on alice for one;diner
attentive;alert
a round of golf informal;nine
teen happening;prom
escalate with up;step
afternoon performance;matinee
took top honors;won
features before main feat;shorts
using loose pad i dry bed;wadi
rumor;tale
philatomiami dir;ssw
convincing as an argumen;cogent
lessen ones exposure;clothe
wind instrument;oboe
reserve  publication;book
shut tinopener in cupboard;closet
bury two males the firsts head at the back;entomb
wideeyed;alert
couple in a gossip column;item
slight fight;tiff
group of thousands maybe;cast
utensil used with flour;sieve
lacking spice;tame
a long way off;far
cool cat;cat
a supporters not recorded emitting line thats hurtful;abrasive
none of the above on a s;other
feed on;eat
tricky;sly
make jerky;cure
with a discount of;less
it shoots the breeze;fan
distillate;essence
grumpy;dour
revel;party
i worry that endlessly flying planes must be this;airworthy
it could be stuffed;olive
brag;vaunt
kind of leather;roan
single partygoer;stag
resort;spa
needles partner;pins
daft;nuts
church section;nave
cured pig meat;bacon
hull projection;keel
valuable fur;marten
investigator at times;tail
pm before macmillan;eden
car exhaust us;tailpipe
addict wrongly put in charge is instructive;didactic
saunter eg;gait
what some people do in an;chat
jobless;idle
courtesan in play treated with affection;strumpet
besides whats here;other
most common craps roll;seven
foreign;alien
coconut oil source;copra
stout relative;ale
beauty;gem
stimulate into action;prod
tiger beat cover subject;idol
letter after sierra in r;tango
berkshire eg;hog
skimmer eg;hat
particularly prized posse;jewel
like santas suit after g;sooty
pot marigold;calendula
it may follow an omission;oops
make amends for;atone
strengthened;reinforced
sporting site;arena
become narrower;taper
flames shoot in it;rink
construction of snow may;fort
perhaps run through to have drink after do filled up;conjugate
a bit on the side giving former partner stress;extension
millstone;onus
tranquil;peaceful
blockhead;dolt
dog treat;biscuit
kind of battle;custody
word of woe;alas
bad ignition;arson
wheel shaft;axle
ransom demander;captor
imperfect speech;lisp
reason for a suit;tort
wassailing choice;ale
not completely closed;ajar
leather band;strop
lettuce dish;salad
woody or gracie;allen
kind of cloth;loin
sauna feature;steam
it may be dinged;fender
debonair;urbane
note;iou
ease;alleviate
walk leisurely;amble
abbott to costello;cohort
student is trying to impress oral examiner;dentist
malign;defame
indisposed;loath
princeton greenery;ivy
mount in the bible;ass
london theatre in the round;globe
impression;sense
fishermans profit;net
whats left after deducti;net
hard to get;elusive
hybrid cattle run backward;reluctant
outstanding;unpaid
caution;admonish
regular hangout;purlieu
organic farmers need;manure
kind of nut;kola
dog command;speak
skip about to keep fit  its all the rage;captain
take the offensive;attack
civil wrong;tort
lots of people taking off the last bit of their underwear;thong
commit;perpetrate
luau dance;hula
unrinsed maybe;soapy
clay brick;adobe
one with an m;mme
precept;tenet
be adamant;insist
not be entirely truthful;fib
ghostly pale;ashen
surfs sound;roar
glitter;sparkle
what a climber may clutch;crag
revolver may be used when approaching big game;turnstile
special gift;esp
missing at roll call may;awol
not punctual;late
do i within three days start to lack energy;diddle
hardly feminine;mannish
voltaires religious view;deism
semblance;guise
dracula for one;legend
polly who wants a cracke;parrot
crooned;sang
fries say;side
windy locale;maze
not yield;insist
state personnel in for second retreat;ashram
tabletop perhaps;slab
has got to have;needs
like some symmetry;axial
fjord explorer;finn
appear on fear factor;dare
study eg;room
what a keeper may keep;inn
manner lacking seriousness;levity
alphas opposite;omega
roasted item;chestnut
cut off;lop
aguilera hasnt the heart to drop artist having fever;ague
steady;sure
rrated maybe;racy
article seen in many plac;the
hidebound;stodgy
stale italian bread;lira
go over and over;rehash
talked impolitely;swore
chatter;jaw
kind of cup;dixie
hold;grip
jeopardy;risk
not on the border;inset
provide funds for;endow
opinion;say
take the low road in a w;slum
first second third or h;base
obsession;mania
long note;breve
relative;clansman
extended;long
food connoisseur;epicure
realestate ad statistic;area
ecclesiastical councils;creed
section in a record store;classical
small progress;step
put on  act snooty;airs
showed the way;led
headquarters;seat
metric weight;tonne
people dropping ecstasy at every opportunity in fabric;poplin
den mother;den
still green;unripe
soil;stain
break ones back;toil
good news on wall street;upturn
book specification;octavo
take the wrong way;steal
protect in a way;encase
soapmaking need;lye
lacking iron;anemic
opposite of nne;ssw
shell game spheroid;pea
attorney getting politician slightly wet;damp
place to work;office
fastened with stitches;sewn
makeup artist;liar
periscope piece;lens
south american strangler;anaconda
mulling spice;nutmeg
power;wattage
place to sojourn;inn
amtrak posting;schedule
give the third degree;grill
threepeaters threepeat;title
bronx attraction;zoo
trim;mow
glasses may improve it;aim
opposite of yellow;brave
american in paris eg;expatriate
coldshoulder;shun
when earth day is celebra;apr
frogs home;pond
member of the mustard fam;cauliflower
distinguished;great
struggle for breath;gasp
bat spinner;lathe
its a mystery why one might read hemingway;enigma
mont blanc for one;alp
it goes from a to a;octave
rocket;soar
powers that be;regime
arrived on large animal;camel
ammo in game hunting;buckshot
disavow;retract
trip to mecca;hadj
one whos not straight;liar
dragons home;lair
flying body;fuselage
one may be precious;metal
it might be gotten from a;origami
pepperupper;stimulant
manufacturer;maker
runner for the hills;ski
home film player;vcr
brawny competitor;viva
enormous;huge
blow it;err
clemency;mercy
toast choice;wheat
nearby;around
turn about;slue
info on an invitation;where
photomap overlay;grid
where the action is;scene
sprite;pixie
daedalus creation;labyrinth
work thats no fun;chore
not outer;inner
caterpillar product;plow
tennyson work;idyll
bollywood costume;sari
sudden attack;raid
initials at colo springs;usaf
lose sleep over;agonize
knights wear;armor
memory aid;mnemonic
time for eggnog;noel
leave nut to get cracked later;eventual
lackluster;drab
like some consonants;palatal
snack item;apple
bubbly mass;froth
tenderfoot;newcomer
like some pie crusts;flaky
zippo;zilch
long for;ago
catalog;assort
kind of mill;grist
what a pity;alas
frame shape;oval
swell;bloat
medium talent;esp
knight;sir
quizzee maybe;contestant
wheel connector;axle
stick in;add
harbor workhorse;tug
a child regularly rejected tart;acid
doubles job;stunt
disable;paralyze
arouse class with article in french;kindle
key key;enter
talk crazily;rave
ladybugs prey;aphid
starting place;eden
screen;seclude
be beholden to;owe
in the end vote was carried  break down;erode
wayfarers refuge;inn
harness part;strap
mystical indicator;omen
do guzzle cold dessert  no time;suffice
long tale;epic
gotham city dogooder;batman
wet ones whistle;drank
like britain;great
precommunist autocrat;tsar
like the last beatles con;rooftop
not tipsy;sober
your throat might be this;sore
move to your previous pla;backspace
generals insignia;stars
part of sweeping efforts;dustpan
pivot around;slue
flier;bird
it may rest on a rack;hat
not the shortest line bet;arc
traded beads;wampum
at the close of;after
be worthy of comparison with upcoming irish girl;rival
concise;terse
dried coconut meat;copra
alluring;hot
barely covering the fundamentals of rules insufficient for legal expert;jurist
rocket part;nose
something ejected from place included in total;sputum
charge;tutelage
trainee;cadet
scarce;rare
gasoline in england;petrol
messages via msncom eg;email
random one;any
bit of a climb;step
fish thats no longer in;catch
library sign;quiet
set as the sun;sank
succeed effortlessly;coast
appliance on a board;iron
time piece;hour
play broadly;emote
animal featured in newspaper;ape
coverup at the highest l;eclipse
churl;miser
stomach;maw
procter  gamble laundry;era
not willing to try boring cooking eat in;intestate
ease;ameliorate
tip;doff
mushroom with an umbrella;agaric
brand name eg;label
walk in water;wade
aura informally;vibes
toy with a string;top
rhapsodic rhyme;ode
many a bar mitzvah attend;teen
it increases by degrees;angle
root used in some energy;ginseng
prince or princess;heir
like the end of the world;polar
short snort;nip
send off;shoo
fizzless;flat
womens trouble;malady
type of tree;conifer
put on;air
droppers word;oops
sewing shop purchase;skein
palacerelated;royal
hooded jacket;anorak
scientific investigation;research
liveliness;esprit
book part;leaf
european tongue;erse
it may be pulled;taffy
immobilizes;pins
coach players to run;mentor
one fellow climbing tree makes slip;fielder
bikinitofiji dir;sse
fly high;soar
first name among sex symb;mae
something to take in a ca;spin
improvisationlike composi;toccata
son quietly studied feast;spread
extraction;parentage
spring sight;rosebud
snip;bargain
like an oboes sound;reedy
unlikely dog for a canine;mutt
whipped cream serving;glob
frisbee game involving bo;ultimate
source of money that once enabled east german to escape;hole in the wall
battle of wits;chess
organ transplant need;donor
nuptials;matrimony
excess in eating;gluttony
fixes for son to get a small promotion damn;curse
miss america topper;tiara
welsh rabbit ingredient;ale
tailward on jets;aft
symbol of slimness;reed
chesspiece;king
letter for gandalf;rune
two years in the house;term
churchill downs favorite;julep
creatures rest by table;spider
emanation;odor
earlier monastery incomplete;prior
bracelet site;ankle
dilapidated;derelict
its shell may be soft;taco
quarterinch of snow eg;coating
smooth;sleek
editors direction;stet
large bird with a loud sc;macaw
study of mans past;archaeology
not willing to help others;uncooperative
beethoven work;sonata
wolfed down;ate
cell phone setting;loud
like tvs jaime sommers;bionic
servers tool;tongs
shout across the seine;cri
burglars booty;haul
stopped dead;froze
cheese with eyes;swiss
library book;tome
foolish;unwise
book journey for one getting hitched;bride
how waltzing matilda is;allegro
kind of officer;truant
posit;assert
vaulters tool;pole
lillehammer event;slalom
blackboard cleaner;eraser
armstrong blew it;cornet
like the eye of a storm;calm
top american making comeback with weakest in group securing second;surmount
child seat;lap
romantic activity in vessel  after love in short;courtship
an usher walks up and dow;aisle
like satin to the touch;smooth
professional truck driver;teamster
immoderate eater;glutton
downing st vips;pms
central american indian;maya
attention getter;ahem
le sages gil;blas
plan;map
cornhusker eg;farmer
tv ad;commercial
god to muslims;allah
loamy soil;loess
blimey alec capsized the boat;coracle
cheese;steak
spigot essentially;valve
good in street talk;bad
food or air;intake
rebound adversely;backfire
lechers look;ogle
circus cry;ooh
something to drool over;bib
bleed;run
biblical plot;eden
auctioneers word;once
brain cell;neuron
rising agent;yeast
profit;gain
doing business;open
reason to cram;exam
it may be forced;entry
make joyful;gladden
realise guard protects us;suss
mythical greek warrior with a foot problem;achilles
like frankenstein;gothic
margaret cho eg;comedienne
smear cold sulphate on new yellow tops;calumny
hemmed in by protest a tory is one prepared to leave things behind;testator
olympic award;medal
ado hungry dog barking in alltoofamiliar situation;groundhog day
party bowlful;nuts
school friend;classmate
pixieish;elfin
prognosticator;seer
stories like washington c;lore
every other quarter;biannual
roman gown;tunic
like a mai tai;fruity
personal vehicle;car
see;observe
cold war side;nato
high ground;upland
officertobe;cadet
like some wells and lectu;dry
certain twowheeler;chariot
graven image;idol
oxeye window shape;oval
accomplisher;doer
act the pawnbroker;lend
interpret wrongly;misunderstand
wedding concern;dress
word with sand or bottom;dollar
soup base;stock
western ring;lariat
make like;ape
tricky driving condition;sleet
dust devil eg;eddy
a lot of plot;acre
easy chair site;den
nightly news topic;lottery
soninlaw of ikhnaton;tut
not at all fair;stormy
declare;assert
one with a nest egg;hen
perform better than;outdo
food that is rustled up;grub
manx eg;gaelic
wall st hire;mba
bear down;weigh
days;inn
elevator;lift
nowhere near what you are looking for on the contrary;far from it
straightbilled game bird;snipe
us state not so mountainous containing source of unique vegetable;cauliflower
hot springs eg;spa
flute player;piper
occurrence at many a lect;yawn
expecting no payment runs into charge;free
one of these can be found;planet
warm mozzarella in egg sandwiches  revolting;genial
warble;quaver
flying phenomenon;saucer
men in blue;union
pc hookup;crt
knuckle under;succumb
sport in which competitor;rodeo
what cows chew;cud
showy flower;lily
long race;marathon
game plan;strategy
succeed as a proposal;fly
tailors meeting place;seam
bread and butter so to s;mainstay
small and delicate;petite
halloween hue;orange
terse radio message;sos
bosom;breast
gallows;gibbet
many a beer;malt
narcotic;heroin
convertible or coupe eg;car
tip for a calligrapher;nib
french wine classificatio;cru
quotable notable abbr;anon
queen involved in dishonest behaviour get outta here;scram
not notched;even
not closed all the way;ajar
garden enrichment;fertilizer
tabloid label for a mob;ragtag
spend the night;roost
platinumgroup element;iridium
run off to a judge in veg;elope
with 34d a comic strip s;patch
date for many a place;cinema
stand in;sub
with it once;hep
put ones foot down;step
ball sees character at centre of social network taken down a notch;twister
bill;poster
hired heavy;goon
sounded like a fan;whirr
correct copy;edit
red alert  revolution succeeds say communist leaders;scarlet
seize;nab
designate european rescue vessel to guard strip of water;earmark
amount to be raised;ante
remove a fastener from;unpin
baseballs ruth;babe
dogooder;samaritan
frogs place;throat
reluctant to put ring through strip of wood;loath
fail miserably;bomb
musical show;revue
pole eg;slav
west of tinseltown;mae
steps over a wall;stile
religion of the koran;islam
unaccompanied;alone
listen;hear
like petrol nowadays;unleaded
babys word;mama
side line;spur
protection from bugs;antibiotic
managed soccer team without money;franc
post for one;aviator
full of activity;astir
socalled missing link;apeman
fantastic feeling;ecstasy
middle c eg;note
opium;den
joyful tune;lilt
fled;ran
for end of month one ranks ks2 kid;junior
where life jackets may be;aft
likethinking for short;esp
engine booster;turbo
green globule;pea
gaping hole;abyss
codex precursor;scroll
come forward;emerge
lasagna cheese;ricotta
was inactive;sat
pitched too low;flat
peggy woods title role o;mama
man retains work in aspiration;hope
negligent;remiss
ring out;resound
lunar trench;rill
airplane heading;vector
npr host flatow;ira
took a tram eg;rode
not at all spicy;mild
spite;rancour
partner for this and that;other
raven;jet
signal agreement;nod
old person has a college reported in the east end;aztec
violins kin;cello
tearful;moist
like sunsets;red
enjoyed london or france;read
hamster eg;pet
have ambitions;aspire
shed in fine drops;drizzle
unconsciousness;coma
of rain;pluvial
rag;tatter
melbournetobrisbane dir;nne
untilled stretch;lea
closemouthed;secretive
attract as a customer;pull
shrivel;wither
way to a mans heart;vein
overly ornate;rococo
doctor comes to a stop;whoa
h rider haggard novel;she
john introduced to cuter refashioned hairstyle;crew cut
vacation spot;resort
letter after sigma;tau
steak mediumrare eg;order
stuff;gear
partner of circumstance;pomp
sandwich from a sidewalk;gyro
chargers acquisition;debt
leadership ends in power struggle in a manner of speaking;direction
warning device;siren
protein building block;amino
vitality power;energy
big bovines;oxen
doctor to compete for picture;movie
very angry;irate
gym exercise;chin
lightener;peroxide
material john wayne originally rejected;wool
stopper;brake
be slowly discharged;exude
himalayan legend;yeti
average;par
head skin;scalp
heap;ton
rainbow;arc
jerk;ass
make better;heal
cheaters preparation;crib
cryptic clues are mostly profane;secular
what candles may signify;age
like smoothrunning machi;oiled
no longer divided;one
it may be striped;bass
wrestling finales;pins
daily hollywood publicati;variety
brown foe;yale
withhold;deny
officially;fort
relative of fudge;drat
do up as a fly;zip
like some traffic for sh;thru
cronus or oceanus;titan
emmy winner perlman;rhea
row right after cup game;tier
unable to walk;lame
control knob;dial
messy fellow;slob
delivery possibility;son
queens;gambit
cr;flan
nerve;gall
angel;saint
hue and cry;clamor
ear cover maybe;tress
nothing in a kiln after throwing clay;kaolin
exertion;toil
calla lily family;arum
frazzle;unnerve
abrasive corundum;emery
liturgical reference;missal
surgery stitch;suture
job for tvs quincy;autopsy
firm beginning to trade fur coats;stable
slick;oily
it may go down a tube;ovum
perceive;feel
forward;saucy
fools deck;tarot
spanish finger food;tapas
chef boyar;dee
turtle shell;carapace
headscratcher;poser
fertile soil;loam
a scout may do a good one;deed
statistical subset;sample
wc;loo
runner who looks happy missing start;miler
a big body in africa;hippo
brick type;adobe
not keep ones feelings p;emote
cloakanddagger doings;intrigue
lean;list
too snug;tight
avoid;evade
economic factors deployed as soft power;dollar
having lunch say;out
saint boniface eg;monk
result of squeezing mayb;juice
enrichment course;elective
word from the french for;oboe
bank;tier
coal bed;seam
mollusc;snail
grp founded in baghdad;opec
like arctic winters;harsh
cowhands home;ranch
millays  to silence;ode
art workplace;studio
messenger;rna
girl nervous but attractive;dishy
get by;evade
play badly;cheat
anachronism eg;goof
image on the back of a 1;eye
rotten;putrid
supportive of;pro
shocked by a nameless author having a heart transplant;aghast
hens home;coop
like some thin fibers;optical
its good at raising doug;yeast
best;optimal
kind of acid used in blea;oxalic
modify;alter
sans strife;run
stable locks;mane
wing say;maim
social worker;ant
cleanse totally;purge
means of enlightenment;zen
certain characters somehow having time to socialise;interact
peak;vertex
snag;nab
type of drum;snare
morally degraded;sleazy
as the case may be;perhaps
stylish fellows a wimp;chicken
prove to be false or incorrect;rebut
grant immunity to european politician replacing one in withdrawal;exempt
one way to be struck;dumb
ghostly greeting;boo
imitate;ape
you may take one before d;seat
taj mahal eg;tomb
more than sore;irate
middle of the resolution;spontaneous
monocle;eyeglass
aimless;errant
coal carrier;hod
what a paleontologist rec;skeleton
napoleon eg;pastry
small flock of birds;covey
become inedible;rot
land without a lot of luggage;light
approach;near
pouch worn with a kilt;sporran
airport monitor abbr;eta
means of id;dna
hoodoo;magic
unit of matter;atom
publicists handout;release
ragamuffin;waif
orwells animal farm e;satire
its often italicized;title
seize back;retake
use cusswords;swear
use a knife or fork;stab
mollycoddle;pamper
shuffle painfully;hobble
most frequent state;norm
alternative to a clothesl;dryer
sixtime nl home run ch;ott
sample food;taste
second addendum to a lett;pps
comet for one;reindeer
run out of shelter;roof
electric eye eg;sensor
dance with bandone;tango
he is working on a commission;cadet
tacitus or tiberius;roman
place to put some leaves;teapot
succeed;work
theme park company;lego
faust eg;tenor
dull tedious;dreary
part of cpu;unit
grease pencil for one;marker
fare for regular folks;bran
clement moores right jo;santa
emasculate say;unsex
a real piece of work;task
calendar listing;event
end of an exhaust system;tailpipe
pair with a plow;oxen
whitewater carrier;raft
tell a thing or two;educate
piece of downhillers kit;ski
brahman eg;hindu
halloffamer williams;ted
fashions chanel;coco
show on the small screen;telecast
field yield;crop
lions home;lair
sudden jerk head on mattress touching springs;spasm
censor;edit
a crystal ball user has i;gaze
farmers prayer perhaps;rain
vaulted church area;apse
discommode;irk
response from the awed;ooh
mil title;col
modern junk;spam
toxic atmosphere;miasma
deep pit;abyss
impose infantry right to see off introduction of infantry;inflict
passed to acquire cockneys item about one grand;dignified
utilise;use
detain during wartime;intern
go 80 mph say;speed
good to have around;handy
toot ones horn;honk
tape alternative;yardstick
part of a certain kit;snare
excited to perform songs around iran about rebellion;uprising
cutesypoo dog;peke
radio and newspapers eg;media
cleanup target;act
suit part;vest
it may turn on a rooster;vane
endowment;gift
pivotal point;hinge
uncle of note;sam
pecking order;eat
the black stallion eg;arabian
use a hose on as a garde;water
one who hems but doesnt;tailor
highway hauler;semi
check writers record;stub
digs in the forest;nest
word from a killjoy;bah
words of praise;ode
on the house;free
jfk listing;eta
tightrope walkers need;net
track supporter;tie
insect feeder;proboscis
bow of a vessel;prow
auctioneers sold;gone
manner;style
grassy expanse;steppe
convened again;resat
city to which helen was a;troy
spat;tiff
assign to a job;appoint
farm cart;wain
produce some combinations;box
compound ws target;wart
barbers challenge;mop
its often seen next to a;strop
cubmaster in scouting;akela
perceived;knew
not loose;chaste
record holder;sleeve
performance site;dais
certain train car;sleeper
person with a code name;agent
word with black red or w;ant
become part of history;occur
no longer hot;out
cowboys rope;lasso
seekers question;where
isolated nest var;eyrie
spot;notice
a shot;each
chap;gent
withdrawal of support before race leads to bitter criticism;diatribe
lithe;supple
cheap booze;rot
twist out of shape;contort
vice president under jeff;burr
monokinis lack;bra
